Group	Sample	Bin	Score
L1Md_A.O.bed	H3K4me3	278	-0.06278000975609756
L1Md_A.O.bed	H3K4me3	279	-0.0682756731707317
L1Md_A.O.bed	H3K4me3	280	-0.07144808780487805
L1Md_A.O.bed	H3K4me3	281	-0.07473583902439024
L1Md_A.O.bed	H3K4me3	282	-0.07186887804878049
L1Md_A.O.bed	H3K4me3	283	-0.06597397073170731
L1Md_A.O.bed	H3K4me3	284	-0.06313077073170732
L1Md_A.O.bed	H3K4me3	285	-0.06595678048780487
L1Md_A.O.bed	H3K4me3	286	-0.06414749268292683
L1Md_A.O.bed	H3K4me3	287	-0.05563488292682927
L1Md_A.O.bed	H3K4me3	288	-0.051820546341463415
L1Md_A.O.bed	H3K4me3	289	-0.052160409756097564
L1Md_A.O.bed	H3K4me3	290	-0.05255734634146342
L1Md_A.O.bed	H3K4me3	291	-0.045929682926829266
L1Md_A.O.bed	H3K4me3	292	-0.042771160975609755
L1Md_A.O.bed	H3K4me3	293	-0.043416243902439026
L1Md_A.O.bed	H3K4me3	294	-0.043284878048780485
L1Md_A.O.bed	H3K4me3	295	-0.04153441951219512
L1Md_A.O.bed	H3K4me3	296	-0.0407341756097561
L1Md_A.O.bed	H3K4me3	297	-0.039736268292682925
L1Md_A.O.bed	H3K4me3	298	-0.03903498048780488
L1Md_A.O.bed	H3K4me3	299	-0.03750505365853658
L1Md_A.O.bed	H3K4me3	300	-0.0399216
L1Md_A.O.bed	H3K4me3	301	-0.041917024390243904
L1Md_A.O.bed	H3K4me3	302	-0.04219504390243902
L1Md_A.O.bed	H3K4me3	303	-0.042479868292682924
L1Md_A.O.bed	H3K4me3	304	-0.04189345853658537
L1Md_A.O.bed	H3K4me3	305	-0.043098048780487806
L1Md_A.O.bed	H3K4me3	306	-0.043732278048780486
L1Md_A.O.bed	H3K4me3	307	-0.04738787317073171
L1Md_A.O.bed	H3K4me3	308	-0.0492864487804878
L1Md_A.O.bed	H3K4me3	309	-0.0485913512195122
L1Md_A.O.bed	H3K4me3	310	-0.04883501951219512
L1Md_A.O.bed	H3K4me3	311	-0.05257034146341463
L1Md_A.O.bed	H3K4me3	312	-0.05275308780487805
L1Md_A.O.bed	H3K4me3	313	-0.04943256585365854
L1Md_A.O.bed	H3K4me3	314	-0.04830370243902439
L1Md_A.O.bed	H3K4me3	315	-0.05121120975609756
L1Md_A.O.bed	H3K4me3	316	-0.052734541463414636
L1Md_A.O.bed	H3K4me3	317	-0.05472866829268293
L1Md_A.O.bed	H3K4me3	318	-0.05785133170731707
L1Md_A.O.bed	H3K4me3	319	-0.05746746829268293
L1Md_A.O.bed	H3K4me3	320	-0.05868510731707317
L1Md_A.O.bed	H3K4me3	321	-0.05931768780487805
L1Md_A.O.bed	H3K4me3	322	-0.058348697560975604
L1Md_A.O.bed	H3K4me3	323	-0.06190395121951219
L1Md_A.O.bed	H3K4me3	324	-0.06575140487804877
L1Md_A.O.bed	H3K4me3	325	-0.06494020975609756
L1Md_A.O.bed	H3K4me3	326	-0.060610063414634145
L1Md_A.O.bed	H3K4me3	327	-0.056428721951219514
L1Md_A.O.bed	H3K4me3	328	-0.04611239024390244
L1Md_A.O.bed	H3K4me3	329	-0.04848125365853659
L1Md_A.O.bed	H3K4me3	330	-0.05787348780487805
L1Md_A.O.bed	H3K4me3	331	-0.05616738536585366
L1Md_A.O.bed	H3K4me3	332	-0.05386087317073171
L1Md_A.O.bed	H3K4me3	333	-0.05335632195121951
L1Md_A.O.bed	H3K4me3	334	-0.05163993658536585
L1Md_A.O.bed	H3K4me3	335	-0.05128663902439024
L1Md_A.O.bed	H3K4me3	336	-0.048694156097560976
L1Md_A.O.bed	H3K4me3	337	-0.0447242
L1Md_A.O.bed	H3K4me3	338	-0.04223209756097561
L1Md_A.O.bed	H3K4me3	339	-0.04926420975609756
L1Md_A.O.bed	H3K4me3	340	-0.046067546341463414
L1Md_A.O.bed	H3K4me3	341	-0.04342852195121951
L1Md_A.O.bed	H3K4me3	342	-0.04816501951219512
L1Md_A.O.bed	H3K4me3	343	-0.04449269268292683
L1Md_A.O.bed	H3K4me3	344	-0.04479219512195122
L1Md_A.O.bed	H3K4me3	345	-0.0499172
L1Md_A.O.bed	H3K4me3	346	-0.05274176097560976
L1Md_A.O.bed	H3K4me3	347	-0.05150091219512195
L1Md_A.O.bed	H3K4me3	348	-0.04684227804878049
L1Md_A.O.bed	H3K4me3	349	-0.047791921951219514
L1Md_A.O.bed	H3K4me3	350	-0.05037311219512195
L1Md_A.O.bed	H3K4me3	351	-0.05115293170731707
L1Md_A.O.bed	H3K4me3	352	-0.04816750731707317
L1Md_A.O.bed	H3K4me3	353	-0.04227623902439025
L1Md_A.O.bed	H3K4me3	354	-0.04213059024390244
L1Md_A.O.bed	H3K4me3	355	-0.040665873170731705
L1Md_A.O.bed	H3K4me3	356	-0.0353882
L1Md_A.O.bed	H3K4me3	357	-0.0320924487804878
L1Md_A.O.bed	H3K4me3	358	-0.031118253658536585
L1Md_A.O.bed	H3K4me3	359	-0.0312861512195122
L1Md_A.O.bed	H3K4me3	360	-0.038537590243902436
L1Md_A.O.bed	H3K4me3	361	-0.05221083902439024
L1Md_A.O.bed	H3K4me3	362	-0.051896165853658534
L1Md_A.O.bed	H3K4me3	363	-0.0519244
L1Md_A.O.bed	H3K4me3	364	-0.052630839024390245
L1Md_A.O.bed	H3K4me3	365	-0.0502508243902439
L1Md_A.O.bed	H3K4me3	366	-0.05265695609756098
L1Md_A.O.bed	H3K4me3	367	-0.057807629268292686
L1Md_A.O.bed	H3K4me3	368	-0.059156809756097564
L1Md_A.O.bed	H3K4me3	369	-0.06127081463414634
L1Md_A.O.bed	H3K4me3	370	-0.06666765853658536
L1Md_A.O.bed	H3K4me3	371	-0.06648576097560975
L1Md_A.O.bed	H3K4me3	372	-0.06287186341463415
L1Md_A.O.bed	H3K4me3	373	-0.06294432682926829
L1Md_A.O.bed	H3K4me3	374	-0.07330727804878048
L1Md_A.O.bed	H3K4me3	375	-0.07711498048780488
L1Md_A.O.bed	H3K4me3	376	-0.07647883902439025
L1Md_A.O.bed	H3K4me3	377	-0.07389173170731707
L1Md_A.O.bed	H3K4me3	378	-0.07690113170731708
L1Md_A.O.bed	H3K4me3	379	-0.07245564878048781
L1Md_A.O.bed	H3K4me3	380	-0.07050303414634146
L1Md_A.O.bed	H3K4me3	381	-0.06697111707317073
L1Md_A.O.bed	H3K4me3	382	-0.0695657756097561
L1Md_A.O.bed	H3K4me3	383	-0.06305119512195122
L1Md_A.O.bed	H3K4me3	384	-0.06460626341463414
L1Md_A.O.bed	H3K4me3	385	-0.06135180487804878
L1Md_A.O.bed	H3K4me3	386	-0.059859853658536584
L1Md_A.O.bed	H3K4me3	387	-0.06289594634146342
L1Md_A.O.bed	H3K4me3	388	-0.0701885268292683
L1Md_A.O.bed	H3K4me3	389	-0.07366781463414634
L1Md_A.O.bed	H3K4me3	390	-0.06047089268292683
L1Md_A.O.bed	H3K4me3	391	-0.054285229268292684
L1Md_A.O.bed	H3K4me3	392	-0.06474276585365854
